
,,,,,,Corsi (EV),Corsi (EV),Corsi (EV),Corsi (EV),Fenwick (EV),Fenwick (EV),Fenwick (EV),Fenwick (EV),PDO (),PDO (),,Zone Starts (EV),Zone Starts (EV),,,,,,,
Rk,Player,Age,Tm,Pos,GP,CF,CA,CF%,CF% rel,FF,FA,FF%,FF% rel,oiSH%,oiSV%,PDO,oZS%,dZS%,TOI/60,TOI(EV),TK,GV,E+/-,SAtt.,Thru%
,,,,,,,,,,,,,,,,,,,,,,,,,
29,Nicklas Backstrom\backsni02,32,WSH,C,61,1017,861,54.2,2.6,763,638,54.5,3.0,11.3,87.5,98.8,52.5,47.5,19:00,14:56,34,42,6.1,220,60.0
30,Sven Baertschi\baertsv01,27,VAN,LW,6,72,41,63.7,11.8,49,32,60.5,9.8,0.0,92.0,92.0,55.9,44.1,11:49,10:13,1,1,0.4,15,46.7
31,Josh Bailey\bailejo01,30,NYI,C,68,821,954,46.3,-0.6,598,705,45.9,-1.5,9.7,89.0,98.7,50.9,49.1,16:53,13:24,38,54,-3.4,161,58.4
32,Justin Bailey\baileju01,24,VAN,RW,2,8,17,32.0,-4.8,5,12,29.4,-6.6,0.0,100.0,100.0,22.2,77.8,5:20,5:20,0,1,-0.1,1,100.0
33,Rudolfs Balcers\balceru01,22,OTT,LW,15,164,146,52.9,3.4,119,108,52.4,2.6,7.8,90.4,98.2,55.0,45.0,12:08,10:08,7,5,-1.1,42,54.8
34,Ivan Barbashev\barbaiv01,24,STL,C,69,662,752,46.8,-4.9,501,567,46.9,-4.6,8.2,93.0,101.2,39.6,60.4,13:27,11:34,33,31,-5.8,133,57.1
35,Riley Barber\barberi01,25,MTL,RW,9,72,68,51.4,-4.2,55,48,53.4,-2.8,0.0,96.9,96.9,48.8,51.2,8:15,8:15,0,2,-0.5,11,54.5
36,Mark Barberio\barbema01,29,COL,D,21,268,267,50.1,-0.9,190,197,49.1,-1.6,8.7,93.5,102.2,35.7,64.3,14:06,12:46,6,13,0.5,46,63.0
37,Cole Bardreau\bardrco01,26,NYI,F,10,51,78,39.5,-6.3,40,53,43.0,-4.2,8.0,85.3,93.3,53.7,46.3,8:52,8:19,4,4,-0.6,15,66.7
38,Aleksander Barkov\barkoal01,24,FLA,C,66,1024,926,52.5,3.6,791,726,52.1,2.5,9.9,89.8,99.7,57.5,42.5,20:01,15:19,51,52,3.2,267,64.4
39,Tyson Barrie\barrity01,28,TOR,D,70,1466,1259,53.8,3.1,1078,991,52.1,1.4,8.9,90.2,99.1,58.2,41.8,21:53,18:58,16,62,0.6,361,46.8
40,Mathew Barzal\barzama01,22,NYI,C,68,1257,1175,51.7,7.8,929,847,52.3,8.3,8.8,91.8,100.6,57.8,42.2,20:01,17:05,70,103,7.5,295,58.0
41,Drake Batherson\bathedr01,21,OTT,C,23,263,276,48.8,1.1,189,212,47.1,-0.8,4.5,88.8,93.3,54.5,45.5,15:34,13:19,5,5,-3.2,65,49.2
42,Jay Beagle\beaglja01,34,VAN,RW/C,55,379,637,37.3,-13.4,300,450,40.0,-11.3,5.6,92.7,98.3,23.0,77.0,12:34,9:29,14,7,-10.1,73,67.1
43,Ethan Bear\bearet01,22,EDM,D,71,1280,1330,49.0,2.5,955,1020,48.4,0.5,9.5,90.4,100.0,52.1,47.9,21:58,19:03,44,84,2.7,181,54.7
44,J.C. Beaudin\beaudje01,22,OTT,C,22,129,173,42.7,-5.3,95,129,42.4,-6.6,5.7,89.2,95.0,46.2,53.8,8:38,8:17,1,2,-1.9,28,64.3
45,Nicolas Beaudin\beaudni01,20,CHI,D,1,17,22,43.6,-15.4,13,15,46.4,-21.4,9.1,100.0,109.1,66.7,33.3,17:01,16:51,0,1,-0.3,5,40.0
46,Nathan Beaulieu\beaulna01,27,WPG,D,38,461,556,45.3,-4.4,355,410,46.4,-1.7,9.6,95.6,105.2,51.8,48.2,16:60,14:37,6,23,-1.7,75,50.7
47,Anthony Beauvillier\beauvan01,22,NYI,LW,68,899,1034,46.5,-0.3,674,765,46.8,-0.3,9.5,89.0,98.5,49.5,50.5,17:16,14:32,29,51,-0.4,235,56.2
48,Pierre-Edouard Bellemare\bellepi01,34,COL,LW,69,755,690,52.2,1.0,547,495,52.5,1.6,6.9,91.1,97.9,42.0,58.0,13:25,11:02,53,17,5.3,138,61.6
49,Kieffer Bellows\belloki01,21,NYI,LW,8,56,87,39.2,-8.4,42,61,40.8,-5.5,12.1,97.2,109.3,53.6,46.4,10:39,10:37,2,5,0.9,21,52.4
50,Emil Bemstrom\bemstem01,20,CBJ,C,56,496,496,50.0,1.2,367,374,49.5,-1.1,6.2,89.8,96.1,59.5,40.5,12:16,10:40,10,16,1.1,149,65.1
51,Jamie Benn\bennja01,30,DAL,LW,69,963,913,51.3,2.7,717,677,51.4,3.0,7.7,92.1,99.8,53.5,46.5,16:26,13:41,52,56,7.7,280,58.6
