,,,,,,Corsi (EV),Corsi (EV),Corsi (EV),Corsi (EV),Fenwick (EV),Fenwick (EV),Fenwick (EV),Fenwick (EV),PDO (),PDO (),,Zone Starts (EV),Zone Starts (EV),,,,,,,
Rk,Player,Age,Tm,Pos,GP,CF,CA,CF%,CF% rel,FF,FA,FF%,FF% rel,oiSH%,oiSV%,PDO,oZS%,dZS%,TOI/60,TOI(EV),TK,GV,E+/-,SAtt.,Thru%
404,Tyson Jost\jostty01,21,COL,C,67,691,647,51.6,-0.1,491,473,50.9,-0.6,8.4,93.8,102.2,47.0,53.0,12:46,10:38,17,12,5.2,189,60.8
405,Tomas Jurco\jurcoto01,27,EDM,RW,12,101,102,49.8,1.7,75,71,51.4,2.1,8.3,91.7,100.0,63.4,36.6,9:59,9:44,6,2,-0.3,20,35.0
406,Nazem Kadri\kadrina01,29,COL,C,51,684,654,51.1,0.0,507,505,50.1,-1.1,11.1,92.6,103.6,52.9,47.1,17:26,13:10,21,28,1.6,226,58.8
407,Dominik Kahun\kahundo01,24,TOT,C,56,584,585,50.0,-1.6,435,438,49.8,-2.0,11.9,90.3,102.2,54.9,45.1,13:17,12:11,18,9,0.4,122,71.3
408,Kaapo Kakko\kakkoka01,18,NYR,RW,66,700,886,44.1,-3.2,512,683,42.8,-5.9,5.3,91.1,96.4,51.0,49.0,14:17,12:02,35,21,-9.8,196,55.6
409,Vladislav Kamenev\kamenvl01,23,COL,LW,38,246,249,49.7,-2.7,174,176,49.7,-2.6,5.8,91.5,97.3,52.5,47.5,8:59,7:42,18,7,-1.1,64,50.0
410,David Kampf\kampfda01,25,CHI,C,70,688,763,47.4,-1.7,517,568,47.6,-0.8,5.6,92.5,98.1,38.1,61.9,13:40,11:25,37,17,-6.6,140,64.3
411,Steven Kampfer\kampfst01,31,BOS,D,10,112,111,50.2,0.5,81,78,50.9,1.0,8.6,94.0,102.6,60.3,39.7,13:38,12:49,4,1,0.9,28,46.4
412,Evander Kane\kaneev01,28,SJS,LW,64,930,913,50.5,0.0,688,671,50.6,0.9,8.4,87.9,96.3,50.7,49.3,19:32,15:06,45,51,-2.6,347,62.2
413,Patrick Kane\kanepa01,31,CHI,RW,70,1171,1246,48.4,-0.5,863,938,47.9,-0.5,11.1,92.3,103.4,57.2,42.8,21:20,17:28,43,41,-6.9,464,59.3
414,Kasperi Kapanen\kapanka01,23,TOR,RW,69,820,775,51.4,-0.4,597,597,50.0,-1.4,9.6,90.7,100.3,50.5,49.5,15:47,12:45,36,29,-5.4,214,56.5
415,Erik Karlsson\karlser01,29,SJS,D,56,1021,915,52.7,4.6,767,698,52.4,4.8,8.5,87.8,96.3,51.9,48.1,24:31,18:20,52,68,4.0,245,49.4
416,Melker Karlsson\karlsme01,29,SJS,C,61,474,572,45.3,-5.2,346,431,44.5,-5.7,8.2,91.6,99.8,51.0,49.0,12:15,9:45,26,11,-5.9,94,59.6
417,William Karlsson\karlswi01,27,VEG,C,63,1024,844,54.8,0.9,765,630,54.8,0.6,8.8,90.9,99.7,55.0,45.0,18:52,14:57,54,37,10.9,251,55.0
418,David Kase\kaseda01,23,PHI,RW,6,29,41,41.4,-8.3,22,35,38.6,-11.4,6.7,96.0,102.7,50.0,50.0,9:47,9:33,2,1,0.0,10,50.0
419,Ondrej Kase\kaseon01,24,TOT,RW,55,788,694,53.2,4.5,600,537,52.8,4.1,7.1,90.6,97.8,57.1,42.9,16:33,13:36,41,30,1.2,250,57.6
420,Zack Kassian\kassiza01,29,EDM,RW,59,810,873,48.1,1.2,626,668,48.4,0.6,11.2,89.8,101.0,54.8,45.2,15:40,15:10,26,45,3.0,164,60.4
421,Martin Kaut\kautma01,20,COL,RW,9,69,58,54.3,2.4,47,44,51.6,0.2,9.4,84.0,93.4,51.1,48.9,10:08,9:19,2,0,-0.2,25,52.0
422,Duncan Keith\keithdu01,36,CHI,D,61,1145,1194,49.0,0.2,834,905,48.0,-0.6,8.8,92.0,100.9,54.0,46.0,24:23,19:16,42,74,-5.4,256,43.4
423,Clayton Keller\kellecl01,21,ARI,C,70,940,861,52.2,5.3,713,674,51.4,4.3,6.9,91.5,98.5,62.3,37.7,16:18,13:21,34,32,0.6,296,62.2
424,Joel Kellman\kellmjo01,25,SJS,F,31,206,239,46.3,-5.3,153,178,46.2,-5.6,7.3,92.0,99.3,44.0,56.0,11:35,10:25,8,8,-0.6,50,62.0
425,Adrian Kempe\kempead01,23,LAK,LW,69,896,726,55.2,2.7,680,553,55.2,3.2,5.1,89.9,95.1,52.5,47.5,16:01,12:35,24,27,4.1,262,56.5
426,Michal Kempny\kempnmi01,29,WSH,D,58,943,942,50.0,-2.7,696,706,49.6,-3.1,12.1,91.9,104.0,50.2,49.8,18:38,16:56,13,35,-5.6,170,42.9
427,Alexander Kerfoot\kerfoal01,25,TOR,C,65,851,756,53.0,1.8,650,581,52.8,2.3,10.5,88.6,99.1,48.3,51.7,14:46,13:04,28,33,-3.5,152,57.9
428,Phil Kessel\kesseph01,32,ARI,RW,70,943,926,50.5,3.0,700,729,49.0,1.1,6.5,90.9,97.3,62.5,37.5,17:09,13:43,19,41,0.5,270,56.7
429,Jujhar Khaira\khairju01,25,EDM,LW,64,536,657,44.9,-3.3,398,475,45.6,-3.0,5.5,89.9,95.4,38.7,61.3,12:32,10:37,15,36,-11.3,119,58.0
430,Alex Killorn\killoal01,30,TBL,C/LW,68,840,763,52.4,0.7,620,591,51.2,0.0,12.4,92.6,105.0,48.0,52.0,17:56,12:55,27,26,1.2,209,62.2
431,Joel Kiviranta\kivirjo01,23,DAL,F,11,114,88,56.4,10.7,89,67,57.1,10.9,1.6,95.7,97.3,68.2,31.8,10:39,10:10,5,3,0.5,25,52.0
432,Oscar Klefbom\klefbos01,26,EDM,D,62,1043,1192,46.7,-1.5,794,852,48.2,-0.1,9.4,90.0,99.4,51.9,48.1,25:24,18:53,36,58,-3.3,314,50.6
433,John Klingberg\klingjo01,27,DAL,D,58,1131,1083,51.1,2.5,832,821,50.3,1.7,7.2,91.8,99.0,54.9,45.1,22:10,19:09,24,71,0.3,288,41.7
434,Nikolai Knyzhov\knyzhni01,21,SJS,D,3,3,18,14.3,-32.0,0,11,0.0,-44.8,,87.5,,60.0,40.0,10:49,9:52,1,2,-0.8,3,0.0
435,Slater Koekkoek\koekksl01,25,CHI,D,42,629,572,52.4,4.1,464,421,52.4,4.5,7.6,92.7,100.4,46.7,53.3,16:45,15:23,9,27,2.1,117,40.2
436,Mikko Koivu\koivumi01,36,MIN,C,55,641,637,50.2,0.6,483,471,50.6,1.1,8.3,92.4,100.7,42.9,57.1,15:34,12:02,29,13,6.9,114,64.9
437,Otto Koivula\koivuot01,21,NYI,LW,12,67,90,42.7,-5.5,48,66,42.1,-6.8,5.0,95.5,100.5,30.0,70.0,7:55,7:49,2,3,-0.3,5,80.0
438,Keegan Kolesar\koleske01,22,VEG,RW,1,5,9,35.7,-26.6,4,6,40.0,-25.4,0.0,100.0,100.0,50.0,50.0,12:06,12:06,0,0,-0.3,1,100.0
439,Leo Komarov\komarle01,33,NYI,C,48,418,549,43.2,-4.3,289,395,42.3,-5.6,8.4,93.6,102.1,37.9,62.1,12:36,10:49,13,16,-2.9,65,70.8
440,Travis Konecny\konectr01,22,PHI,C,66,975,778,55.6,6.1,731,610,54.5,4.9,9.0,90.2,99.3,49.8,50.2,16:48,13:50,29,47,8.5,240,58.8
441,Anze Kopitar\kopitan01,32,LAK,C,70,1147,1016,53.0,-0.2,862,781,52.5,-0.4,9.4,90.5,99.9,49.5,50.5,21:02,16:22,39,49,0.6,243,55.6
442,Egor Korshkov\korsheg01,23,TOR,F,1,9,8,52.9,15.9,6,8,42.9,5.8,33.3,100.0,133.3,0.0,100.0,10:08,10:08,1,0,-0.5,1,100.0
443,Klim Kostin\kostikl01,20,STL,C/LW,4,24,28,46.2,-8.0,17,25,40.5,-13.2,7.7,100.0,107.7,40.0,60.0,8:32,8:31,0,1,-0.4,7,71.4
444,Jesperi Kotkaniemi\kotkaje01,19,MTL,C,36,440,380,53.7,-0.7,313,292,51.7,-2.9,6.3,90.2,96.5,61.6,38.4,12:60,11:08,14,21,-3.6,87,63.2
